Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
1947,Best Performance by an Actor in a Leading Role in a Play,Jose Ferrer,Cyrano de Bergerac
1947,Best Performance by an Actress in a Leading Role in a Play,Ingrid Bergman,Joan of Lorraine
1947,Best Performance by an Actor in a Leading Role in a Play,Fredric March,Years Ago
1947,Best Performance by an Actress in a Leading Role in a Play,Helen Hayes,Happy Birthday
1947,Best Performance by an Actor in a Featured Role in a Musical,David Wayne,Finian's Rainbow
1947,Best Performance by an Actress in a Featured Role in a Play,Patricia Neal,Another Part of the Forrest
1947,Best Author of a Play,Arthur Miller,All My Sons
1947,Best Choreography,Agnes de Mille,Brigadoon
1947,Best Choreography,Michael Kidd,Finian's Rainbow
1947,Best Costume Design of a Play,Lucinda Ballard,Multiple
1947,Best Direction of a Play,Elia Kazan,All My Sons
1947,Best Original Score,Kurt Weill,Street Scene
1947,Best Scenic Design of a Play,David Folks,Henry VIII
1948,Best Performance by an Actor in a Leading Role in a Musical,Paul Hartman,Angel in the Wings
1948,Best Performance by an Actor in a Leading Role in a Play,Henry Fonda,Mister Roberts
1948,Best Performance by an Actor in a Leading Role in a Play,Paul Kelly,Command Decision
1948,Best Performance by an Actor in a Leading Role in a Play,Basil Rathbone,The Heiress
1948,Best Performance by an Actress in a Leading Role in a Musical,Grace Hartman,Angel in the Wings
1948,Best Performance by an Actress in a Leading Role in a Play,Judith Anderson,Medea
1948,Best Performance by an Actress in a Leading Role in a Play,Katharine Cornell,Antony and Cleopatra
1948,Best Performance by an Actress in a Leading Role in a Play,Jessica Tandy,A Streetcar Named Desire
1948,Best Author of a Play,Thomas Heggen,Mister Roberts
1948,Best Author of a Play,Joshua Logan,Mister Roberts
1948,Best Choreography,Jerome Robbins,High Button Shoes
1948,Conductor And Musical Director,Max Meth,Finian's Rainbow
1948,Best Costume Design of a Play,Mary Percy Schenck,The Heiress
1948,Best Direction of a Play,Joshua Logan,Mister Roberts
1948,Best Play,Mister Roberts,Mister Roberts
1948,Best Producer of a Play,Leland Hayward,Mister Roberts
1948,Best Scenic Design of a Play,Horace Armistead,The Medium
1949,Best Performance by an Actor in a Leading Role in a Musical,Ray Bolger,Where's Charley?
1949,Best Performance by an Actor in a Leading Role in a Play,Rex Harrison,Anne of the Thousand Days
1949,Best Performance by an Actress in a Leading Role in a Musical,Nanette Fabray,Love Life
1949,Best Performance by an Actress in a Leading Role in a Play,Martita Hunt,The Madwoman of Chaillot
1949,Best Performance by an Actor in a Featured Role in a Play,Arthur Kennedy,Death of a Salesman
1949,Best Performance by an Actress in a Featured Role in a Play,Shirley Booth,"Goodbye, My Fancy"
1949,Best Book of a Musical,Bella Spewack,Kiss Me Kate
1949,Best Book of a Musical,Samuel Spewack,Kiss Me Kate
1949,Conductor And Musical Director,Max Meth,As the Girls Go
1949,Best Choreography,Gower Champion,Lend An Ear
1949,Best Costume Design of a Musical,Lemuel Ayers,Kiss Me Kate
1949,Best Direction of a Play,Elia Kazan,Death of a Salesman
1949,Best Musical,Kiss Me Kate,Kiss Me Kate
1949,Best Original Score,Cole Porter,Kiss Me Kate
1949,Best Play,Death of a Salesman,Death of a Salesman
1949,Best Producer of a Musical,Lemuel Ayers,Kiss Me Kate
1949,Best Producer of a Play,Kermit Bloomgarden,Death of a Salesman
1949,Best Scenic Design of a Play,Jo Mielziner,Death of a Salesman
1950,Best Performance by an Actor in a Leading Role in a Musical,Ezio Pinza,South Pacific
1950,Best Performance by an Actor in a Leading Role in a Play,Sidney Blackmer,"Come Back, Little Sheba"
1950,Best Performance by an Actress in a Leading Role in a Musical,Mary Martin,South Pacific
1950,Best Performance by an Actress in a Leading Role in a Play,Shirley Booth,"Come Back, Little Sheba"
1950,Best Performance by an Actor in a Featured Role in a Musical,Myron McCormick,South Pacific
1950,Best Performance by an Actress in a Featured Role in a Musical,Juanita Hall,South Pacific
1950,Best Book of a Musical,Oscar Hammerstein II,South Pacific
1950,Best Book of a Musical,Joshua Logan,South Pacific
1950,Best Choreography,Helen Tamiris,Touch and Go
1950,Conductor And Musical Director,Maurice Abravanel,Regina
1950,Best Costume Design of a Play,Alice Bernstein,Regina
1950,Best Direction of a Musical,Joshua Logan,South Pacific
1950,Best Musical,South Pacific,South Pacific
1950,Best Original Score,Richard Rodgers,South Pacific
1950,Best Play,The Cocktail Party,The Cocktail Party
1950,Best Producer of a Musical,Leland Hayward,South Pacific
1950,Best Producer of a Musical,Oscar Hammerstein II,South Pacific
1950,Best Producer of a Musical,Joshua Logan,South Pacific
1950,Best Producer of a Musical,Richard Rodgers,South Pacific
1950,Best Producer of a Play,Gilbert Miller,The Cocktail Party
1950,Best Scenic Design of a Play,Jo Mielziner,The Innocents
1951,Best Performance by an Actor in a Leading Role in a Musical,Robert Alda,Guys and Dolls
1951,Best Performance by an Actor in a Leading Role in a Play,Claude Rains,Darkness At Noon
1951,Best Performance by an Actress in a Leading Role in a Musical,Ethel Merman,Call Me Madam
1951,Best Performance by an Actress in a Leading Role in a Play,Uta Hagen,The Country Girl
1951,Best Performance by an Actor in a Featured Role in a Musical,Russell Nype,Call Me Madam
1951,Best Performance by an Actor in a Featured Role in a Play,Eli Wallach,The Rose Tattoo
1951,Best Performance by an Actress in a Featured Role in a Musical,Isabel Bigley,Guys and Dolls
1951,Best Performance by an Actress in a Featured Role in a Play,Maureen Stapleton,The Rose Tattoo
1951,Best Choreography,Michael Kidd,Guys and Dolls
1951,Conductor And Musical Director,Lehman Engel,The Consul
1951,Best Costume Design of a Musical,Miles White,Bless You All
1951,Best Direction of a Musical,George S. Kaufman,Guys and Dolls
1951,Best Musical,Guys and Dolls,Guys and Dolls
1951,Best Original Score,Irving Berlin,Call Me Madam
1951,Best Play,The Rose Tattoo,The Rose Tattoo
1951,Best Producer of a Play,Cheryl Crawford,The Rose Tattoo
1951,Best Scenic Design of a Play,Boris Aronson,Multiple
1952,Best Performance by an Actor in a Leading Role in a Musical,Phil Silvers,Top Banana
1952,Best Performance by an Actor in a Leading Role in a Play,Jose Ferrer,The Shrike
1952,Best Performance by an Actress in a Leading Role in a Musical,Gertrude Lawrence,The King and I
1952,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,I Am a Camera
1952,Best Performance by an Actor in a Featured Role in a Musical,Yul Brynner,The King and I
1952,Best Performance by an Actor in a Featured Role in a Play,John Cromwell,Point of No Return
1952,Best Performance by an Actress in a Featured Role in a Musical,Helen Gallagher,Pal Joey
1952,Best Performance by an Actress in a Featured Role in a Play,Marian Winters,I Am a Camera
1952,Best Choreography,Robert Alton,Pal Joey
1952,Conductor And Musical Director,Max Meth,Pal Joey
1952,Best Costume Design of a Musical,Irene Sharaff,The King and I
1952,Best Direction of a Play,Jose Ferrer,Multiple
1952,Best Musical,The King and I,The King and I
1952,Best Play,The Fourposter,The Fourposter
1952,Best Scenic Design of a Musical,Jo Mielziner,The King and I
1953,Best Performance by an Actor in a Leading Role in a Musical,Thomas Mitchell,Hazel Flagg
1953,Best Performance by an Actor in a Leading Role in a Play,Tom Ewell,The Seven Year Itch
1953,Best Performance by an Actress in a Leading Role in a Play,Shirley Booth,Time of the Cuckoo
1953,Best Performance by an Actress in a Leading Role in a Musical,Rosalind Russell,Wonderful Town
1953,Best Performance by an Actor in a Featured Role in a Musical,Hiram Sherman,Two's Company
1953,Best Performance by an Actor in a Featured Role in a Play,John Williams,Dial M for Murder
1953,Best Performance by an Actress in a Featured Role in a Musical,Sheila Bond,Wish You Were Here
1953,Best Performance by an Actress in a Featured Role in a Play,Beatrice Straight,The Crucible
1953,Best Choreography,Donald Saddler,Wonderful Town
1953,Conductor And Musical Director,Lehman Engel,Wonderful Town
1953,Best Costume Design of a Musical,Miles White,Hazel Flagg
1953,Best Direction of a Play,Joshua Logan,Picnic
1953,Best Musical,Wonderful Town,Wonderful Town
1953,Best Play,The Crucible,The Crucible
1953,Best Producer of a Musical,Robert Fryer,Wonderful Town
1953,Best Producer of a Play,Kermit Bloomgarden,The Crucible
1953,Best Scenic Design of a Musical,Raoul Pene Du Bois,Wonderful Town
1954,Best Performance by an Actor in a Leading Role in a Musical,Alfred Drake,Kismet
1954,Best Performance by an Actor in a Leading Role in a Play,David Wayne,The Teahouse of the August Moon
1954,Best Performance by an Actress in a Leading Role in a Musical,Dolores Gray,Carnival in Flanders
1954,Best Performance by an Actress in a Leading Role in a Play,Audrey Hepburn,Ondine
1954,Best Performance by an Actor in a Featured Role in a Musical,Harry Belafonte,John Murray Anderson's Almanac
1954,Best Performance by an Actor in a Featured Role in a Play,John Kerr,Tea and Sympathy
1954,Best Performance by an Actress in a Featured Role in a Musical,Gwen Verdon,Can-Can
1954,Best Performance by an Actress in a Featured Role in a Play,Jo Van Fleet,The Trip to Bountiful
1954,Best Choreography,Michael Kidd,Can-Can
1954,Conductor And Musical Director,Louis Adrian,Kismet
1954,Best Costume Design of a Play,Richard Whorf,Ondine
1954,Best Direction of a Play,Alfred Lunt,Ondine
1954,Best Musical,Kismet,Kismet
1954,Best Play,The Teahouse of the August Moon,The Teahouse of the August Moon
1954,Best Producer of a Musical,Charles Lederer,Kismet
1954,Best Producer of a Play,Maurice Evans,The Teahouse of the August Moon
1954,Best Producer of a Play,George Schaefer,The Teahouse of the August Moon
1954,Best Scenic Design of a Play,Peter Larkin,Ondine
1955,Best Performance by an Actor in a Leading Role in a Musical,Walter Slezak,Fanny
1955,Best Performance by an Actor in a Leading Role in a Play,Alfred Lunt,Quadrille
1955,Best Performance by an Actress in a Leading Role in a Musical,Mary Martin,Peter Pan
1955,Best Performance by an Actress in a Leading Role in a Play,Nancy Kelly,The Bad Seed
1955,Best Performance by an Actor in a Featured Role in a Musical,Cyril Ritchard,Peter Pan
1955,Best Performance by an Actor in a Featured Role in a Play,Francis L. Sullivan,Witness for the Prosecution
1955,Best Performance by an Actress in a Featured Role in a Musical,Carol Haney,The Pajama Game
1955,Best Performance by an Actress in a Featured Role in a Play,Patricia Jessel,Witness for the Prosecution
1955,Best Choreography,Bob Fosse,The Pajama Game
1955,Conductor And Musical Director,Thomas Schippers,The Saint of Bleecker Street
1955,Best Costume Design of a Play,Cecil Beaton,Quadrille
1955,Best Direction of a Play,Robert Montgomery,The Desperate Hours
1955,Best Musical,The Pajama Game,The Pajama Game
1955,Best Play,The Desperate Hours,The Desperate Hours
1955,Best Producer of a Musical,Frederick Brisson,The Pajama Game
1955,Best Producer of a Musical,Robert Griffith,The Pajama Game
1955,Best Producer of a Musical,Harold Prince,The Pajama Game
1955,Best Producer of a Play,Howard Erskine,The Desperate Hours
1955,Best Producer of a Play,Joseph Hayes,The Desperate Hours
1955,Best Scenic Design of a Musical,Oliver Messell,House of Flowers
1956,Best Performance by an Actor in a Leading Role in a Musical,Ray Walston,Damn Yankees
1956,Best Performance by an Actor in a Leading Role in a Play,Paul Muni,Inherit the Wind
1956,Best Performance by an Actress in a Leading Role in a Musical,Gwen Verdon,Damn Yankees
1956,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,The Lark
1956,Best Performance by an Actor in a Featured Role in a Musical,Russ Brown,Damn Yankees
1956,Best Performance by an Actor in a Featured Role in a Play,Ed Begley,Inherit the Wind
1956,Best Performance by an Actress in a Featured Role in a Musical,Lotte Lenya,The Threepenny Opera
1956,Best Performance by an Actress in a Featured Role in a Play,Una Merkel,The Ponder Heart
1956,Best Choreography,Bob Fosse,Damn Yankees
1956,Conductor And Musical Director,Hal Hastings,Damn Yankees
1956,Best Costume Design of a Musical,Alvin Colt,Pipe Dream
1956,Best Direction of a Play,Tyrone Guthrie,The Matchmaker
1956,Best Musical,Damn Yankees,Damn Yankees
1956,Best Play,The Diary of Anne Frank,The Diary of Anne Frank
1956,Best Producer of a Musical,Frederick Brisson,Damn Yankees
1956,Best Producer of a Musical,Robert Griffith,Damn Yankees
1956,Best Producer of a Musical,Harold Prince,Damn Yankees
1956,Best Producer of a Play,Kermit Bloomgarden,The Diary of Anne Frank
1956,Best Scenic Design of a Play,Peter Larkin,Inherit the Wind
1957,Best Performance by an Actor in a Leading Role in a Musical,Rex Harrison,My Fair Lady
1957,Best Performance by an Actor in a Leading Role in a Play,Frederic March,Long Day's Journey Into Night
1957,Best Performance by an Actress in a Leading Role in a Musical,Judy Holliday,Bells Are Ringing
1957,Best Performance by an Actress in a Leading Role in a Play,Margaret Leighton,Separate Tables
1957,Best Performance by an Actor in a Featured Role in a Musical,Sydney Chaplin,Bells Are Ringing
1957,Best Performance by an Actor in a Featured Role in a Play,Frank Conroy,The Potting Shed
1957,Best Performance by an Actress in a Featured Role in a Musical,Edith Adams,Li'l Abner
1957,Best Performance by an Actress in a Featured Role in a Play,Peggy Cass,Auntie Mame
1957,Best Choreography,Michael Kidd,Li'l Abner
1957,Conductor And Musical Director,Franz Allers,My Fair Lady
1957,Best Costume Design of a Musical,Cecil Beaton,My Fair Lady
1957,Best Direction of a Musical,Moss Hart,My Fair Lady
1957,Best Musical,My Fair Lady,My Fair Lady
1957,Best Play,Long Day's Journey,Long Day's Journey
1957,Best Producer of a Musical,Herman Levin,My Fair Lady
1957,Best Producer of a Play,Leigh Connell,Long Day's Journey Into Night
1957,Best Producer of a Play,Theodore Mann,Long Day's Journey Into Night
1957,Best Producer of a Play,Jose Quintero,Long Day's Journey Into Night
1957,Best Scenic Design of a Musical,Oliver Smith,My Fair Lady
1958,Best Performance by an Actor in a Leading Role in a Musical,Robert Preston,The Music Man
1958,Best Performance by an Actor in a Leading Role in a Play,Ralph Bellamy,Sunrise At Campobello
1958,Best Performance by an Actress in a Leading Role in a Musical,Thelma Ritter,New Girl In Town
1958,Best Performance by an Actress in a Leading Role in a Musical,Gwen Verdon,New Girl In Town
1958,Best Performance by an Actress in a Leading Role in a Play,Helen Hayes,Time Remembered
1958,Best Performance by an Actor in a Featured Role in a Musical,David Burns,The Music Man
1958,Best Performance by an Actor in a Featured Role in a Play,Henry Jones,Sunrise At Campobello
1958,Best Performance by an Actress in a Featured Role in a Musical,Barbara Cook,The Music Man
1958,Best Performance by an Actress in a Featured Role in a Play,Anne Bancroft,Two For The Seesaw
1958,Best Choreography,Jerome Robbins,West Side Story
1958,Conductor And Musical Director,Herbert Greene,The Music Man
1958,Best Costume Design of a Play,Motley,The First Gentleman
1958,Best Direction of a Play,Vincent J. Donehue,Sunrise At Campobello
1958,Best Musical,The Music Man,The Music Man
